Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,2.0,1200.0000000012,0.0,2.0,1200.0000000012,0.0
2,6.5,750.0000000007501,3375.0000000033756,6.5,750.0000000007501,3375.0000000033756
3,7.0,700.0000000007001,3500.0000000035006,7.0,700.0000000007001,3500.0000000035006
4,7.5,520.00000000052,2860.00000000286,6.2,910.0000000009102,3822.000000003823
5,6.2,840.0000000008401,3528.000000003529,6.8,660.0000000006601,3168.000000003168
6,6.5,740.0000000007402,3330.000000003331,6.4,770.00000000077,3388.0000000033883
7,6.8,790.0000000007901,3792.0000000037926,7.5,580.0000000005799,3190.0000000031896
8,7.2,680.0000000006801,3536.0000000035366,7.2,680.0000000006801,3536.0000000035366
9,6.3,870.0000000008702,3741.0000000037417,7.3,570.0000000005701,3021.000000003022
10,6.7,720.00000000072,3384.0000000033842,6.6,750.0000000007501,3450.00000000345
11,6.4,750.00000000075,3300.0000000033,6.3,780.0000000007802,3354.0000000033547
12,7.0,690.0000000006901,3450.0000000034506,6.9,720.00000000072,3528.000000003528
13,7.3,650.0000000006502,3445.0000000034456,7.1,710.0000000007101,3621.000000003621
14,6.6,820.0000000008201,3772.000000003772,7.4,580.00000000058,3132.0000000031323
15,6.5,800.0000000008002,3600.000000003601,7.0,650.0000000006501,3250.0000000032505
16,6.4,840.0000000008401,3696.000000003697,7.2,600.0000000006,3120.0000000031205
17,6.7,730.00000000073,3431.000000003431,6.7,730.00000000073,3431.000000003431
18,7.1,660.0000000006602,3366.0000000033665,6.8,750.00000000075,3600.0000000036
19,6.9,670.00000000067,3283.000000003283,6.5,790.0000000007902,3555.000000003556
20,6.6,790.00000000079,3634.000000003634,7.1,640.0000000006402,3264.0000000032646
21,7.2,690.0000000006901,3588.0000000035884,7.3,660.0000000006602,3498.000000003499
22,6.4,860.00000000086,3784.0000000037844,7.4,560.00000000056,3024.0000000030245
23,6.5,800.0000000008002,3600.000000003601,7.0,650.0000000006501,3250.0000000032505
24,7.0,720.0000000007201,3600.0000000036007,7.2,660.0000000006601,3432.0000000034324
25,7.5,600.0000000005999,3300.0000000032996,7.0,750.0000000007501,3750.0000000037508
26,7.4,630.00000000063,3402.0000000034024,7.1,720.0000000007202,3672.000000003673
27,7.1,730.0000000007302,3723.000000003724,7.5,610.0000000006099,3355.0000000033547
28,7.0,740.0000000007401,3700.0000000037007,7.4,620.00000000062,3348.0000000033483
29,7.4,640.0000000006401,3456.0000000034565,7.2,700.0000000007001,3640.0000000036407
30,7.2,690.0000000006901,3588.0000000035884,7.3,660.0000000006602,3498.000000003499
31,7.1,680.0000000006802,3468.000000003469,7.0,710.00000000071,3550.0000000035498
32,7.6,600.0000000006,3360.00000000336,7.2,720.0000000007201,3744.0000000037444
33,7.0,750.0000000007501,3750.0000000037508,7.5,600.0000000005999,3300.0000000032996
34,7.3,660.0000000006602,3498.000000003499,7.2,690.0000000006901,3588.0000000035884
35,7.4,640.0000000006401,3456.0000000034565,7.2,700.0000000007001,3640.0000000036407
36,7.3,700.0000000007002,3710.0000000037107,7.6,610.00000000061,3416.000000003416
37,7.2,700.0000000007001,3640.0000000036407,7.4,640.0000000006401,3456.0000000034565
38,7.5,640.00000000064,3520.0000000035197,7.4,670.0000000006702,3618.0000000036193
39,7.0,710.00000000071,3550.0000000035498,7.1,680.0000000006802,3468.000000003469
40,7.3,660.0000000006602,3498.000000003499,7.2,690.0000000006901,3588.0000000035884
41,7.1,720.0000000007202,3672.000000003673,7.4,630.00000000063,3402.0000000034024
42,7.2,690.0000000006901,3588.0000000035884,7.3,660.0000000006602,3498.000000003499
43,7.0,750.0000000007501,3750.0000000037508,7.5,600.0000000005999,3300.0000000032996
44,7.5,610.0000000006099,3355.0000000033547,7.1,730.0000000007302,3723.000000003724
45,7.2,690.0000000006901,3588.0000000035884,7.3,660.0000000006602,3498.000000003499
46,7.5,620.0000000006199,3410.0000000034097,7.2,710.0000000007101,3692.0000000036925
47,7.3,650.0000000006502,3445.0000000034456,7.1,710.0000000007101,3621.000000003621
48,7.4,620.00000000062,3348.0000000033483,7.0,740.0000000007401,3700.0000000037007
49,7.5,610.0000000006099,3355.0000000033547,7.1,730.0000000007302,3723.000000003724
50,7.4,630.00000000063,3402.0000000034024,7.1,720.0000000007202,3672.000000003673
51,7.8,570.00000000057,3306.000000003306,7.3,720.0000000007202,3816.000000003817
52,7.2,700.0000000007001,3640.0000000036407,7.4,640.0000000006401,3456.0000000034565
53,7.6,600.0000000006,3360.00000000336,7.2,720.0000000007201,3744.0000000037444
54,7.7,610.00000000061,3477.0000000034775,7.5,670.0000000006701,3685.0000000036853
55,7.6,630.0000000006302,3528.000000003529,7.5,660.00000000066,3630.00000000363
56,7.4,670.0000000006702,3618.0000000036193,7.5,640.00000000064,3520.0000000035197
57,7.6,630.0000000006302,3528.000000003529,7.5,660.00000000066,3630.00000000363
58,7.5,620.0000000006199,3410.0000000034097,7.2,710.0000000007101,3692.0000000036925
59,7.5,660.00000000066,3630.00000000363,7.6,630.0000000006302,3528.000000003529
60,7.4,660.0000000006601,3564.0000000035648,7.4,660.0000000006601,3564.0000000035648
61,7.6,600.0000000006,3360.00000000336,7.2,720.0000000007201,3744.0000000037444
62,7.7,600.0000000005999,3420.0000000034197,7.4,690.0000000006901,3726.0000000037267
63,7.7,580.0000000005799,3306.0000000033056,7.2,730.0000000007301,3796.0000000037967
64,7.4,670.0000000006702,3618.0000000036193,7.5,640.00000000064,3520.0000000035197
65,7.6,620.00000000062,3472.000000003472,7.4,680.0000000006801,3672.0000000036725
66,7.5,650.0000000006501,3575.000000003575,7.5,650.0000000006501,3575.000000003575
67,7.5,650.0000000006501,3575.000000003575,7.5,650.0000000006501,3575.000000003575
68,7.3,710.0000000007102,3763.000000003764,7.7,590.0000000005899,3363.000000003363
69,7.3,680.0000000006802,3604.000000003605,7.4,650.0000000006501,3510.0000000035106
