Round,FirmID,Price,Quantity,Profit
1,1,2.0,1200.0000000012,0.0
1,2,2.0,1200.0000000012,0.0
2,1,6.5,750.0000000007501,3375.0000000033756
2,2,6.5,750.0000000007501,3375.0000000033756
3,1,7.0,700.0000000007001,3500.0000000035006
3,2,7.0,700.0000000007001,3500.0000000035006
4,1,7.5,520.00000000052,2860.00000000286
4,2,6.2,910.0000000009102,3822.000000003823
5,1,6.2,840.0000000008401,3528.000000003529
5,2,6.8,660.0000000006601,3168.000000003168
6,1,6.5,740.0000000007402,3330.000000003331
6,2,6.4,770.00000000077,3388.0000000033883
7,1,6.8,790.0000000007901,3792.0000000037926
7,2,7.5,580.0000000005799,3190.0000000031896
8,1,7.2,680.0000000006801,3536.0000000035366
8,2,7.2,680.0000000006801,3536.0000000035366
9,1,6.3,870.0000000008702,3741.0000000037417
9,2,7.3,570.0000000005701,3021.000000003022
10,1,6.7,720.00000000072,3384.0000000033842
10,2,6.6,750.0000000007501,3450.00000000345
11,1,6.4,750.00000000075,3300.0000000033
11,2,6.3,780.0000000007802,3354.0000000033547
12,1,7.0,690.0000000006901,3450.0000000034506
12,2,6.9,720.00000000072,3528.000000003528
13,1,7.3,650.0000000006502,3445.0000000034456
13,2,7.1,710.0000000007101,3621.000000003621
14,1,6.6,820.0000000008201,3772.000000003772
14,2,7.4,580.00000000058,3132.0000000031323
15,1,6.5,800.0000000008002,3600.000000003601
15,2,7.0,650.0000000006501,3250.0000000032505
16,1,6.4,840.0000000008401,3696.000000003697
16,2,7.2,600.0000000006,3120.0000000031205
17,1,6.7,730.00000000073,3431.000000003431
17,2,6.7,730.00000000073,3431.000000003431
18,1,7.1,660.0000000006602,3366.0000000033665
18,2,6.8,750.00000000075,3600.0000000036
19,1,6.9,670.00000000067,3283.000000003283
19,2,6.5,790.0000000007902,3555.000000003556
20,1,6.6,790.00000000079,3634.000000003634
20,2,7.1,640.0000000006402,3264.0000000032646
21,1,7.2,690.0000000006901,3588.0000000035884
21,2,7.3,660.0000000006602,3498.000000003499
22,1,6.4,860.00000000086,3784.0000000037844
22,2,7.4,560.00000000056,3024.0000000030245
23,1,6.5,800.0000000008002,3600.000000003601
23,2,7.0,650.0000000006501,3250.0000000032505
24,1,7.0,720.0000000007201,3600.0000000036007
24,2,7.2,660.0000000006601,3432.0000000034324
25,1,7.5,600.0000000005999,3300.0000000032996
25,2,7.0,750.0000000007501,3750.0000000037508
26,1,7.4,630.00000000063,3402.0000000034024
26,2,7.1,720.0000000007202,3672.000000003673
27,1,7.1,730.0000000007302,3723.000000003724
27,2,7.5,610.0000000006099,3355.0000000033547
28,1,7.0,740.0000000007401,3700.0000000037007
28,2,7.4,620.00000000062,3348.0000000033483
29,1,7.4,640.0000000006401,3456.0000000034565
29,2,7.2,700.0000000007001,3640.0000000036407
30,1,7.2,690.0000000006901,3588.0000000035884
30,2,7.3,660.0000000006602,3498.000000003499
31,1,7.1,680.0000000006802,3468.000000003469
31,2,7.0,710.00000000071,3550.0000000035498
32,1,7.6,600.0000000006,3360.00000000336
32,2,7.2,720.0000000007201,3744.0000000037444
33,1,7.0,750.0000000007501,3750.0000000037508
33,2,7.5,600.0000000005999,3300.0000000032996
34,1,7.3,660.0000000006602,3498.000000003499
34,2,7.2,690.0000000006901,3588.0000000035884
35,1,7.4,640.0000000006401,3456.0000000034565
35,2,7.2,700.0000000007001,3640.0000000036407
36,1,7.3,700.0000000007002,3710.0000000037107
36,2,7.6,610.00000000061,3416.000000003416
37,1,7.2,700.0000000007001,3640.0000000036407
37,2,7.4,640.0000000006401,3456.0000000034565
38,1,7.5,640.00000000064,3520.0000000035197
38,2,7.4,670.0000000006702,3618.0000000036193
39,1,7.0,710.00000000071,3550.0000000035498
39,2,7.1,680.0000000006802,3468.000000003469
40,1,7.3,660.0000000006602,3498.000000003499
40,2,7.2,690.0000000006901,3588.0000000035884
41,1,7.1,720.0000000007202,3672.000000003673
41,2,7.4,630.00000000063,3402.0000000034024
42,1,7.2,690.0000000006901,3588.0000000035884
42,2,7.3,660.0000000006602,3498.000000003499
43,1,7.0,750.0000000007501,3750.0000000037508
43,2,7.5,600.0000000005999,3300.0000000032996
44,1,7.5,610.0000000006099,3355.0000000033547
44,2,7.1,730.0000000007302,3723.000000003724
45,1,7.2,690.0000000006901,3588.0000000035884
45,2,7.3,660.0000000006602,3498.000000003499
46,1,7.5,620.0000000006199,3410.0000000034097
46,2,7.2,710.0000000007101,3692.0000000036925
47,1,7.3,650.0000000006502,3445.0000000034456
47,2,7.1,710.0000000007101,3621.000000003621
48,1,7.4,620.00000000062,3348.0000000033483
48,2,7.0,740.0000000007401,3700.0000000037007
49,1,7.5,610.0000000006099,3355.0000000033547
49,2,7.1,730.0000000007302,3723.000000003724
50,1,7.4,630.00000000063,3402.0000000034024
50,2,7.1,720.0000000007202,3672.000000003673
51,1,7.8,570.00000000057,3306.000000003306
51,2,7.3,720.0000000007202,3816.000000003817
52,1,7.2,700.0000000007001,3640.0000000036407
52,2,7.4,640.0000000006401,3456.0000000034565
53,1,7.6,600.0000000006,3360.00000000336
53,2,7.2,720.0000000007201,3744.0000000037444
54,1,7.7,610.00000000061,3477.0000000034775
54,2,7.5,670.0000000006701,3685.0000000036853
55,1,7.6,630.0000000006302,3528.000000003529
55,2,7.5,660.00000000066,3630.00000000363
56,1,7.4,670.0000000006702,3618.0000000036193
56,2,7.5,640.00000000064,3520.0000000035197
