Round,FirmID,Price,Quantity,Profit
1,1,2.0,1200.0000000012,0.0
1,2,2.0,1200.0000000012,0.0
2,1,6.5,750.0000000007501,3375.0000000033756
2,2,6.5,750.0000000007501,3375.0000000033756
3,1,7.0,700.0000000007001,3500.0000000035006
3,2,7.0,700.0000000007001,3500.0000000035006
4,1,7.5,550.0000000005499,3025.0000000030245
4,2,6.5,850.0000000008503,3825.0000000038262
5,1,7.0,750.0000000007501,3750.0000000037508
5,2,7.5,600.0000000005999,3300.0000000032996
6,1,7.2,680.0000000006801,3536.0000000035366
6,2,7.2,680.0000000006801,3536.0000000035366
7,1,7.4,680.0000000006801,3672.0000000036725
7,2,7.6,620.00000000062,3472.000000003472
8,1,7.3,650.0000000006502,3445.0000000034456
8,2,7.1,710.0000000007101,3621.000000003621
9,1,7.1,710.0000000007101,3621.000000003621
9,2,7.3,650.0000000006502,3445.0000000034456
10,1,7.0,740.0000000007401,3700.0000000037007
10,2,7.4,620.00000000062,3348.0000000033483
11,1,7.6,600.0000000006,3360.00000000336
11,2,7.2,720.0000000007201,3744.0000000037444
12,1,7.5,640.00000000064,3520.0000000035197
12,2,7.4,670.0000000006702,3618.0000000036193
13,1,7.3,720.0000000007202,3816.000000003817
13,2,7.8,570.00000000057,3306.000000003306
14,1,7.4,670.0000000006702,3618.0000000036193
14,2,7.5,640.00000000064,3520.0000000035197
15,1,7.8,610.0000000006102,3538.000000003539
15,2,7.7,640.00000000064,3648.000000003648
16,1,7.2,700.0000000007001,3640.0000000036407
16,2,7.4,640.0000000006401,3456.0000000034565
17,1,7.4,680.0000000006801,3672.0000000036725
17,2,7.6,620.00000000062,3472.000000003472
18,1,7.2,690.0000000006901,3588.0000000035884
18,2,7.3,660.0000000006602,3498.000000003499
19,1,7.5,650.0000000006501,3575.000000003575
19,2,7.5,650.0000000006501,3575.000000003575
20,1,7.7,610.00000000061,3477.0000000034775
20,2,7.5,670.0000000006701,3685.0000000036853
21,1,7.8,580.00000000058,3364.000000003364
21,2,7.4,700.0000000007001,3780.0000000037808
22,1,7.4,670.0000000006702,3618.0000000036193
22,2,7.5,640.00000000064,3520.0000000035197
23,1,7.6,630.0000000006302,3528.000000003529
23,2,7.5,660.00000000066,3630.00000000363
24,1,7.5,660.00000000066,3630.00000000363
24,2,7.6,630.0000000006302,3528.000000003529
25,1,7.5,670.0000000006701,3685.0000000036853
25,2,7.7,610.00000000061,3477.0000000034775
26,1,7.5,640.00000000064,3520.0000000035197
26,2,7.4,670.0000000006702,3618.0000000036193
27,1,7.9,570.00000000057,3363.0000000033633
27,2,7.5,690.0000000006901,3795.0000000037953
28,1,7.6,640.0000000006401,3584.000000003584
28,2,7.6,640.0000000006401,3584.000000003584
29,1,7.3,700.0000000007002,3710.0000000037107
29,2,7.6,610.00000000061,3416.000000003416
30,1,7.2,720.0000000007201,3744.0000000037444
30,2,7.6,600.0000000006,3360.00000000336
31,1,7.5,650.0000000006501,3575.000000003575
31,2,7.5,650.0000000006501,3575.000000003575
32,1,7.4,680.0000000006801,3672.0000000036725
32,2,7.6,620.00000000062,3472.000000003472
33,1,7.6,630.0000000006302,3528.000000003529
33,2,7.5,660.00000000066,3630.00000000363
34,1,7.5,680.00000000068,3740.00000000374
34,2,7.8,590.0000000005901,3422.000000003423
35,1,7.3,710.0000000007102,3763.000000003764
35,2,7.7,590.0000000005899,3363.000000003363
36,1,7.4,690.0000000006901,3726.0000000037267
36,2,7.7,600.0000000005999,3420.0000000034197
37,1,7.2,730.0000000007301,3796.0000000037967
37,2,7.7,580.0000000005799,3306.0000000033056
38,1,7.4,700.0000000007001,3780.0000000037808
38,2,7.8,580.00000000058,3364.000000003364
39,1,7.6,640.0000000006401,3584.000000003584
39,2,7.6,640.0000000006401,3584.000000003584
40,1,7.5,690.0000000006901,3795.0000000037953
40,2,7.9,570.00000000057,3363.0000000033633
41,1,7.7,630.00000000063,3591.0000000035916
41,2,7.7,630.00000000063,3591.0000000035916
42,1,7.8,600.0000000006,3480.00000000348
42,2,7.6,660.0000000006601,3696.000000003696
43,1,7.8,620.00000000062,3596.000000003596
43,2,7.8,620.00000000062,3596.000000003596
44,1,7.6,630.0000000006302,3528.000000003529
44,2,7.5,660.00000000066,3630.00000000363
45,1,7.8,590.0000000005901,3422.000000003423
45,2,7.5,680.00000000068,3740.00000000374
46,1,7.5,670.0000000006701,3685.0000000036853
46,2,7.7,610.00000000061,3477.0000000034775
47,1,7.7,600.0000000005999,3420.0000000034197
47,2,7.4,690.0000000006901,3726.0000000037267
48,1,7.5,650.0000000006501,3575.000000003575
48,2,7.5,650.0000000006501,3575.000000003575
49,1,7.8,610.0000000006102,3538.000000003539
49,2,7.7,640.00000000064,3648.000000003648
50,1,7.6,630.0000000006302,3528.000000003529
50,2,7.5,660.00000000066,3630.00000000363
51,1,7.9,580.0000000005799,3422.0000000034215
51,2,7.6,670.0000000006702,3752.0000000037526
52,1,7.5,680.00000000068,3740.00000000374
52,2,7.8,590.0000000005901,3422.000000003423
53,1,7.8,590.0000000005901,3422.000000003423
53,2,7.5,680.00000000068,3740.00000000374
54,1,7.6,640.0000000006401,3584.000000003584
54,2,7.6,640.0000000006401,3584.000000003584
55,1,7.5,660.00000000066,3630.00000000363
55,2,7.6,630.0000000006302,3528.000000003529
56,1,7.7,620.0000000006199,3534.000000003534
56,2,7.6,650.0000000006502,3640.0000000036407
57,1,7.8,590.0000000005901,3422.000000003423
